Timestamp,I will probably complete the survey,Failures are treated as learning opportunities,Responsibilities are shared,Cross-functional collaboration is encouraged and rewarded,New ideas are welcomed,Unbiased information is actively sought,Failures lead to inquiry rather than punishment or shame ,Our Source Control Management tools easily support my work,Our build and task-running tools easily support my work,Our package and artifact management tools easily support my work,Integrating my work with other components or services is simple,"I can easily make the changes I care about, without unintended side effects",Changes made by others rarely cause problems for my work,"It is easy for me to discover information about what has changed in the environments, services or components I depend on",It is easy for me to understand how to release my changes,It is easy for me to specify the details of the environment in which my service will operate,It is easy for me to create the necessary environment(s) for developing and operating my service,"I have access to the compute, storage or network resources I need for developing or operating my service ",I can easily access environments that allow me to experiment safely ,My experimental environments are easy to use,"It is easy for me to discover information about what has changed in the environments, services or components I depend on","I usually apply policies, standards and common procedures to my work",It is easy for me to find information about how  builds and operates our product and its supporting systems,"I understand the intent of policies, standards and common procedures ","In your job role, how much effort do you estimate you spend as a direct contributor (that is, not delegating or organizing the effort of others). ",How long have you been a member of this Engineering team
9/2/2020 19:03:52,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,60-70%,1-3 years
9/2/2020 19:44:08,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,80-90%,1-3 years
9/2/2020 21:28:01,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,80-90%,1-3 years
9/2/2020 22:36:33,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0-10%,0-1 years
9/3/2020 9:02:27,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,80-90%,3-5 years
9/3/2020 9:32:37,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,70-80%,1-3 years
9/3/2020 10:04:53,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,0-10%,5-7 years
9/3/2020 10:06:06,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,70-80%,0-1 years
9/3/2020 10:08:57,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,80-90%,3-5 years
9/3/2020 10:16:58,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,0-10%,7+ years
